5.08	0.00	202.68	197.32	-0.04
5.14	0.00	202.72	197.28	-0.04
5.19	0.00	202.75	197.25	-0.04
5.27	0.00	202.79	197.21	-0.04
5.35	0.00	202.83	197.17	-0.04
5.43	0.00	202.87	197.13	-0.04
5.50	0.00	202.91	197.09	-0.04
5.54	0.00	202.94	197.06	-0.04
5.54	0.00	202.98	197.02	-0.04
5.54	0.00	203.02	196.98	-0.04
5.56	0.00	203.06	196.94	-0.04
5.56	0.00	203.10	196.90	-0.04
5.56	0.00	203.14	196.86	-0.04
5.57	0.00	203.18	196.82	-0.04
5.57	0.00	203.22	196.78	-0.04
5.57	0.00	203.26	196.74	-0.04
5.57	0.00	203.29	196.71	-0.04
5.57	0.00	203.33	196.67	-0.04
5.57	0.00	203.37	196.63	-0.04
5.57	0.00	203.41	196.59	-0.04
5.57	0.00	203.45	196.55	-0.04
5.57	0.00	203.49	196.51	-0.04
5.57	0.00	203.53	196.47	-0.04
5.57	0.00	203.57	196.43	-0.04
5.57	0.00	203.61	196.39	-0.04
5.57	0.00	203.65	196.35	-0.04
5.55	0.00	203.68	196.32	-0.04
5.54	0.00	203.72	196.28	-0.04
5.54	0.00	203.76	196.24	-0.04
5.53	0.00	203.80	196.20	-0.04
5.51	0.00	203.84	196.16	-0.04
5.50	0.00	203.88	196.12	-0.04
5.49	0.00	203.92	196.08	-0.04
5.49	0.00	203.95	196.05	-0.04
5.49	0.00	203.99	196.01	-0.04
5.49	0.00	204.03	195.97	-0.04
5.50	0.00	204.07	195.93	-0.04
5.52	0.00	204.11	195.89	-0.04
5.55	0.00	204.15	195.85	-0.04
5.58	0.00	204.19	195.81	-0.04
5.61	0.00	204.23	195.77	-0.04
5.64	0.00	204.27	195.73	-0.04
5.70	0.00	204.31	195.69	-0.04
5.76	0.00	204.35	195.65	-0.04
5.82	0.00	204.39	195.61	-0.04
5.87	0.00	204.43	195.57	-0.04
5.91	0.00	204.47	195.53	-0.04
5.94	0.00	204.51	195.49	-0.04
5.96	0.00	204.55	195.45	-0.04
5.98	0.00	204.59	195.41	-0.04
6.00	0.00	204.64	195.36	-0.04
6.03	0.00	204.68	195.32	-0.04
6.05	0.00	204.72	195.28	-0.04
6.06	0.00	204.76	195.24	-0.04
6.07	0.00	204.81	195.19	-0.04
6.09	0.00	204.85	195.15	-0.04
6.10	0.00	204.89	195.11	-0.04
6.11	0.00	204.93	195.07	-0.04
6.13	0.00	204.98	195.02	-0.04
6.13	0.00	205.02	194.98	-0.04
6.12	0.00	205.06	194.94	-0.04
6.11	0.00	205.10	194.90	-0.04
6.11	0.00	205.15	194.85	-0.04
6.09	0.00	205.19	194.81	-0.04
6.07	0.00	205.23	194.77	-0.04
6.05	0.00	205.27	194.73	-0.04
6.03	0.00	205.32	194.68	-0.04
6.02	0.00	205.36	194.64	-0.04
6.00	0.00	205.40	194.60	-0.04
5.97	0.00	205.44	194.56	-0.04
5.93	0.00	205.48	194.52	-0.04
5.91	0.00	205.53	194.47	-0.04
5.89	0.00	205.57	194.43	-0.04
5.87	0.00	205.61	194.39	-0.04
5.85	0.00	205.65	194.35	-0.04
5.85	0.00	205.69	194.31	-0.04
5.85	0.00	205.73	194.27	-0.04
5.86	0.00	205.77	194.23	-0.04
5.88	0.00	205.81	194.19	-0.04
5.90	0.00	205.85	194.15	-0.04
5.92	0.00	205.90	194.10	-0.04
5.94	-88.08	109.40	90.60	-9.40
5.98	-88.08	118.81	81.19	-9.41
6.02	-88.08	128.22	71.78	-9.41
6.04	-88.08	137.63	62.37	-9.41
6.05	-88.08	147.04	52.96	-9.41
6.06	-88.08	156.46	43.54	-9.41
6.06	-88.08	165.87	34.13	-9.41
6.06	-88.08	175.00	24.71	-9.41
6.06	-88.08	175.00	15.30	-9.41
6.06	-88.08	175.00	5.88	-9.41
6.05	-88.08	175.00	-3.53	-9.41
6.03	-88.08	175.00	-12.94	-9.41
6.00	-88.08	175.00	-22.35	-9.41
5.98	-88.08	175.00	-31.76	-9.41
5.94	-88.08	175.00	-41.16	-9.40
5.89	-88.08	175.00	-50.56	-9.40
5.79	-88.08	175.00	-59.94	-9.39
5.69	-88.08	175.00	-69.32	-9.38
5.56	-88.08	175.00	-78.68	-9.36
5.37	-88.08	175.00	-88.03	-9.35
5.19	-88.08	175.00	-97.36	-9.33
4.99	-88.08	175.00	-106.66	-9.31
4.72	-88.08	175.00	-115.94	-9.28
4.46	-88.08	175.00	-125.20	-9.25
4.12	-88.08	175.00	-134.42	-9.22
3.77	-88.08	175.00	-143.60	-9.19
3.45	-88.08	175.00	-152.76	-9.15
3.12	-88.08	175.00	-161.88	-9.12
2.68	-88.08	175.00	-170.95	-9.08
2.28	-88.08	175.00	-175.00	-9.04
1.85	-88.08	175.00	-175.00	-8.99
1.32	-88.08	175.00	-175.00	-8.94
0.76	-88.08	175.00	-175.00	-8.88
0.29	-88.08	175.00	-175.00	-8.84
-0.31	-88.08	175.00	-175.00	-8.78
-0.83	-88.08	175.00	-175.00	-8.72
-1.37	-88.08	175.00	-175.00	-8.67
-2.04	-88.08	175.00	-175.00	-8.60
-2.62	-88.08	175.00	-175.00	-8.55
-3.24	-88.08	175.00	-175.00	-8.48
-4.14	-88.08	175.00	-175.00	-8.39
-4.80	-88.08	175.00	-175.00	-8.33
-5.48	-88.08	175.00	-175.00	-8.26
-6.30	-88.08	175.00	-175.00	-8.18
-6.99	-88.08	175.00	-175.00	-8.11
-7.71	-88.08	175.00	-175.00	-8.04
-8.58	-88.08	175.00	-175.00	-7.95
-9.31	-88.08	175.00	-175.00	-7.88
-10.19	-88.08	175.00	-175.00	-7.79
-11.09	-88.08	175.00	-175.00	-7.70
